1 decade april;2 decade april;3 decade april;1 decade may;2 decade may;3 decade may;1 decade june;2 decade june;3 decade june;1 decade july;2 decade july;3 decade july;1 decade august;3 decade august;1 decade september;2 decade september;3 decade september;1 decade october;2 decade october;3 decade october;1 decade november;2 decade november;3 decade november;1 decade december;2 decade december;3 decade december;1 decade january
0;0;0,2;0,2;0,1;0,15;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,05;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1,95;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0
1;0,4;0,4;0,5;0;0;0;0;2;2;2;0;1;0,6;0,6;0,3;0,75;1;0,8;0,75;0,75;0,5;0,45;0,4;0;1;1,2
0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0,35;0,35;0;0;0;0,4;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0
0;0,2;0,2;0,2;0,15;0,15;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0,8;0,5;0;0;0;0;0;0,1;0;0,1;0,1;0,25;0,25;0,3;0,25;0,2;0,2;0,3;0,3;0,25;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,05;0;0;0
0;0;0;0;0,15;0,15;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0,15;0,15;0;0;0;0;0;0,35;0;0;0;0;0;0;0,1;0,1;0,1;0,25;0,25;0,25;0;0;0
0;0;0;0;0,1;0,1;0;0;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0,1;0,8;0,5;0,3;0,3;0;0;0;0;0;0,15;0;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0,15;0,15;0,2;0,15;0,15;0,15;0,15;0,15;0,1;0,1;0,1;0,05;0,05;0,075;0,075;0,075;0,075;0,05;0,05;0,05;0,05;0,1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0,8;0,3;0,3;0;0;0,5;0;0,15
3;2,5;2,5;0;0;0;0;0;0;0;0;0;0;0;5;2;1,5;1,5;1,5;1,3;1,3;1,3;1,3;1,25;1,1;1;1,2
2;2;2;5;3;1,5;1,6;1,6;1,5;1,5;1,5;2;1,5;1;1;1;0,7;0,7;0,8;14;2;2;4,5;1,5;2,3;1;1,4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0
0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0,5;0,5;0,5;1;1;1;1;1;1;1;1;0;0;0,3;0,3;0,3;0,3;0,3;0,25;0,3;0,3;0,3;0,3;0,2;0,2;0,25
0;0;0;0;0;0;0,15;0,2;0,15;0,1;0,12;0;0;0,1;0,1;0,1;0,1;0;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,1;0,15
0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,2;0,2;0,3;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,35;0,35;0,3;0,4;0,4;0,4;0,65;0,65;0,5;0,5;0,6
0,15;0,1;0,8;0,9;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,5;0,5;0,5;0,5;0,45;0,45;0,4;0,45;0,45;0,45;0,45;0,5;0,5;0,4;0,5
0,2;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,25;0,25;0,25;0,25;0,25;0,25;0,3;0,25;0,25;0,25;0,25;0,2;0,2;0,15;0,2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0,04;0,05
2;1,5;2;2;2,2;2,1;2,2;2,2;2,2;2,5;2,5;2,5;2;2;2;2;1,7;2,5;3;3;3;3;3;3;2,5;2;2,2
0,3;0,3;0,4;0,4;0,5;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,6;0,6;0,6;0,6;0,6;0,6;0,72;0,7;0,7;0,7;0,7;0,65;0,6;0,5;1
0;0;0;0;0;0;0;0;0;0,7;0,7;0,7;0;0,3;0,3;0,3;0,3;0,3;0,23;0,25;0,25;0,25;0,25;0,25;0,25;0,2;0,25
0,15;0,15;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,22;0,25;0,25;0,25;0,25;0,2;0,2;0,15;0,2
0,3;0,3;0,4;0,45;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,45;0,45;0,45;0,45;0,45;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,5
0,3;0,3;0,4;0,45;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,25;0,25;0,2;0,12;0,2
0;0;0;0;0;0;0;0;0,1;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
